Temperature,GPS_ALTITUDE
30.3,819.7
30.3,819.7
30.3,819.7
30.3,819.7
30.3,819.7
30.3,819.7
30.3,819.7
30.3,819.7
30.3,819.7
30.3,819.7
30.3,819.7
30.3,819.7
30.3,819.7
30.3,819.7
30.3,819.7
30.3,819.7
30.3,819.7
30.3,819.7
30.3,819.7
30.3,819.7
30.2,819.7
30.2,819.7
30.1,819.7
30.1,819.7
30.1,819.7
30.1,819.7
30.1,819.7
30.1,819.7
30.1,819.5
30.1,819.6
30.1,819.6
30.1,819.6
30.1,819.6
30.1,819.5
29,819.5
27.9,819.1
27.1,819.1
26.3,819.1
25.9,819.1
25.5,819.1
24.9,820.1
24.6,820.5
24.3,820.8
24.1,821.2
23.9,821.6
23.7,822
23.6,822.1
23.4,822.1
23.3,822.1
23.2,822.1
23.1,822.1
23,822.1
23,822.1
22.9,822.1
23,822.1
23.1,822
23.1,822
23.2,821.9
23.3,821.8
23.4,*******
23.4,821.6
23.5,821.6
23.5,821.6
23.5,821.5
23.6,821.4
23.6,821.4
23.6,821.3
23.7,821.3
23.7,821.2
23.7,821.2
23.6,821.2
23.8,821.1
23.8,821.1
23.9,821.1
23.9,821.1
24,821
24,821
24,820.9
24.1,820.9
24.1,820.8
24.2,820.8
24.2,820.7
24.2,820.6
24.3,820.6
